"name","is_positive","text"
1,0,"what's worse is that the movie confirms all the above , and wallows in them as well ."
2,1,"the satire in robocop , however , is almost as frightening in its own way as the suspense and blood ."
3,0,"even charlize theron , who i was convinced couldn't act , did a decent job in cider house rules ."
5,0,"forsythe has the scenery-chewing villain down cold , down cold , and scott glenn is always enjoyable to watch , even when he doesn't seem to be stretching his talents ( as is definitely the case here ) ."
6,0,"however , ten year old boys would adore starship troopers if they could see it . 
"
7,1,"scream was written in 1995 during the infamous bob dole rampage against hollywood , and mr ."
8,0,"but just as she reaches the halfway mark of her final semester at prestigious university's film program -- where each year's best thesis production takes the coveted hitchcock prize , a virtual one-way ticket to hollywood success -- she has a chance encounter with campus security guard reese ( loretta devine ) , whose tale of a series of murders based on urban legends at another university inspires amy to try her hand at a fictional thriller organized along similar lines ."
11,0,"kinnear's scumbagginess is demonstrated by the fact that he claims other peoples' work as his own to worm his way into a vice presidents' position and goes to aa meetings to pick up chicks ."
12,1,""" 
for the most part , however , the best moments are the ones involving the slightly unhinged types ."
13,1,"it actually surprises me that this film did not receive an nc-17 rating , as it is quite harsh ."
14,1,"picking up on this , egoyan has a flashback in which a sitter , nicole burnell , played with grace by sarah polley , reads parts of "" the pied piper "" from an old , illustrated book to her two charges ."
15,1,"it's pretty run of the mill , but it's not something i would say is merely "" ok "" to watch ."
16,0,"( once considered a danger to society , weary now hosts his own talk show , "" 100% cotton "" , a clever , if dated , jab at american pop culture ."
18,0,"you can tell things aren't going pleasantly , because jimmie gets the infamous ?"
19,0,"critique : "" speed on an ice-cream truck "" is probably the pitch that was used to sell this one-tone movie to its backers , but unfortunately , the only way that anyone could compare this film to that tension-filled , original two hours of cinema , is in its distinct honor of being the complete opposite of what that film , and the lethal weapon movies , stood for ."
20,1,"it's a small scene , but it clearly demonstrates the movie's thorough love of the booker character for his romantic roughness ."
21,1,"this movie begins out innocently enough- a couple get engaged at a friend's wedding and get a flat tire in the middle of the night while it's raining ."
22,0,"peter butterworth is not allowed to shine in his boring performance as tom , and bernard bresslaw's character appears only briefly in the film ."
24,1,"having seen several other movies and documentaries about slavery , i doubted that there was much i didn't already know about it ."
27,1,"like any good hong kong movie , blade is heavy on the chopsocky action ."
28,0,"on the long ride home punctuated by an uncomfortable silence between family members , gigantic trucks swerve by as the hour grows late ."
29,1,"based on the boris karloff's classic by the same name , the mummy starts off with the high-priest of osiris , imhotep , who murders the pharoah for his mistress and is punished by being mummified in the most horrifying way possible -- bandaged up , having his tongue removed , and being covered in flesh-eating scarab beetles , then entombed ."
30,0,"he only gets a few decent lines in , although those barely-funny one liners pale in comparison to the hilarious peter venkman character he played three years later in ghostbusters ."
31,1,"however , some plot elements also may elicit laughs from the audience , including a menage a troi that is all but necessary ."
32,0,"obviously , there are quite a few nonmembers of civilization who made this movie , like the first ace ventura film ( i use the word "" film "" only because it was filmed , not because there's any level of artistic merit ."
33,1,"now seeing the trailer it makes you think the whole entire movie is one big special effects show ."
34,1,"standing up , we see the ketchup has made a red stain running from the crotch of his pants down his thigh ."
35,0,"writer adam rifkin and director gore verbinski are the names chiefly responsible for this swill ."
36,0,"wigand has always wanted to make tobacco safer and has natural sympathies with getting the story out ."
38,0,"in panel-sized morsels , implausible plots and "" rambo "" -esque dialogue are often overshadowed by the artwork , but on thirty foot silver screens , it's much more difficult to dismiss the shallowness behind the pretty pictures ."
39,0,"but it doesn't give us a clue as to why first-time screenwriter corey mandell's atrocious script was used ."
41,1,"i hear there is a new movie coming out called scary movie which is a spoof of scream , which is a spoof of scary movies ."
42,0,"this role is in painful contrast with the strong performance given by that same actor in fugitive ."
43,0,"it begins like a typical parable where a small-town boy makes it big , but then has to balance his sense of self against the allure of money , power , and greed ."
44,1,"the movie , which is weakest in the story department , is a cliff's notes version of demille's the ten commandments ."
45,1,"he once served as a guard at the labor camp where valjean served , and after valjean breaks his parole , javert devotes himself to bringing him to justice ."
46,0,"weismuller made 12 tarzan features ; van dien will probably fall 11 short of that number ."
47,1,"spielberg favorite janusz kaminski sets the film in a dark , somber mood when appropriate , and a visual setting when appropriate as well ."
48,1,"life on earth = goes on as any other day , confident that the comet will be destroyed ."
50,0,"the soft-core sex sequences are generic , and don't generate much heat ."
51,1,"eventually , the stories all meet each other in the end , with pumpkin and honey bunny holding up the restaurant , which happens to contain both vincent and jules ."
52,0,"except for the bit at the used car lot ( and possibly another episode that involves frat brothers ) , the dirty work is uninspired and becomes about as funny as a prank phone call ."
53,1,"but the picture is often mesmerizing , and the script is a work of fine craftsmanship , which makes it well worth your time ."
55,1,"nevertheless , will's father wants him to marry molly anyway , but thinks idiot chris is standing in the way and sends him into guest-quarter exile ."
56,1,"the robbery team sounds at once very professional and at the same time it has mamet's special feel for dialog ."
58,1,"some scenes drag , while others , especially when hanks and ryan are revealing their souls via e-mail , are crisp and tidy ."
59,1,"tarantino's pulp fiction is in big part responsible for john travolta's sudden revival in the movie industry , and with talks of an oscar nomination , the same is likely to happen for grier ."
60,1,"i read an associated press article in our local sunday newspaper detailing the problems ellis was having getting his novel published due to the controversial violence in it ."
63,1,"while gilliam may have overdone it in a few places , i think he and his co-writers deserve more credit than that ."
64,1,"apt pupil is a bleak picture destined to be misunderstood by the masses ."
65,0,"jingle all the way is formula crap that follows the if someone falls on his ass , it must be funny school of thought ."
