"name","is_subjective","text"
0,1,"a pathetically inane and unimaginative cross between xxx and vertical limit . "
4,1,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . "
6,0,"incredibly , dionysus' unarmed women defeat pentheus' formidable royal army . "
7,0,"tony stilano and trev spackneys both own , live over and work in adjoining take-away fish shops in melbourne . "
9,1,"moves in such odd plot directions and descends into such message-mongering moralism that its good qualities are obscured . "
10,1,"a sweet-tempered comedy that forgoes the knee-jerk misogyny that passes for humor in so many teenage comedies . "
11,1,"god bless crudup and his aversion to taking the easy hollywood road and cashing in on his movie-star gorgeousness . "
12,1,"the sort of movie that gives tastelessness a bad rap . "
13,1,"dreary , highly annoying . . . 'some body' will appeal to no one . "
14,0,"they marry because that's what you are supposed to do . "
15,1,"the mystery of enigma is how a rich historical subject , combined with so much first-rate talent . . . could have yielded such a flat , plodding picture . "
16,0,"is the story of eight very different people who go on a catalogue modeling trip from sophisticated los angeles to the remote mountains of california . "
17,0,"filmed in a california maximum security prison , the series is a look into the world of street and prison gangs , which ask is there a way out for these men who have dedicated their lives to gangs . "
19,1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem . "
21,0,"he - rugged , handsome , the independent outdoor type - is hitching a ride back to la and knows a good bet when he sees one . "
22,1,"[denis] might be off her nut , but she can sure make an interesting film , a la davids lynch and cronenberg . "
23,0,"michael baldwin ) after a series of nightmares he had . "
24,1,"if you are curious to see the darker side of what's going on with young tv actors ( dawson leery did what ? ! ? ) , or see some interesting storytelling devices , you might want to check it out , but there's nothing very attractive about this movie . "
25,1,"one of those films that started with a great premise and then just fell apart . "
26,1,"an eloquent , reflective and beautifully acted meditation on both the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake . "
27,1,"the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , delivered in almost muffled exchanges , eventually has a lulling effect . "
28,0,"is the history of two workers of the trains , a professor and a little child that decide to sequester an old train that has been sold to usa for a movie production . "
29,0,"he still lives in his new york city orphanage well after the usual age of release . "
30,1,"a beautifully tooled action thriller about love and terrorism in korea . "
32,1,"although purportedly a study in modern alienation , it's really little more than a particularly slanted , gay s/m fantasy , enervating and deadeningly drawn-out . "
33,1," . . . too gory to be a comedy and too silly to be an effective horror film . "
34,1,"the large-frame imax camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers . "
35,0,"faced with the obstacle of needing "" ten large "" to finance a studio recording session , the bros . "
36,1,"an unremarkable , modern action/comedy buddy movie whose only nod to nostalgia is in the title . "
37,0,"in his memoirs , guevara recounts adventures he , and best friend alberto granado , had while crossing south america by motorcycle in the early 1950s . "
38,1,"lovers of the original the silence of the lambs will be ecstatic to see that cinematic lightning can strike twice . "
39,0,"they team up and live their lives in the fast lane on the run . "
40,0,"when times are tough , peter discovers his next door neighbor might be the real santa claus . "
41,1,"it's sweet . . . but just a little bit too precious at the start and a little too familiar at the end . "
42,1,"the movie starts with a legend and ends with a story that is so far-fetched it would be impossible to believe if it weren't true . this is the stuff that disney movies are made of . "
43,1,"director shekhar kapur and screenwriters michael schiffer and hossein amini have tried hard to modernize and reconceptualize things , but the barriers finally prove to be too great . "
44,0,"lucy walks away from him , deciding to take time to make this decision for herself . "
45,1,"the master of disguise represents adam sandler's latest attempt to dumb down the universe . "
46,0,"samantha is then forced to question her own place in the shark-eat-shark world of ambition and power where truth is ever elusive , enemies wear a friend's face and the stakes are nothing less than life or death . "
49,1,"so vivid a portrait of a woman consumed by lust and love and crushed by betrayal that it conjures up the intoxicating fumes and emotional ghosts of a freshly painted rembrandt . "
50,1,"unfortunately , heartbreak hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit . "
51,0,"the boy's obsessive compulsive parents are played by wendie malick and stephen root . "
52,1,"the strength of the film lies in its two central performances by sven wollter as the stricken composer and viveka seldahl as his desperate violinist wife . "
53,0,"and this particular scheme requires a large amount of time-travel , and kidnapping austin powers' father , england's master spy , nigel powers . "
54,1,"often hilarious , well-shot and , importantly , entertaining , hell house is a fascinating document of an event that has to be seen to be believed . "
55,0,"a moving love story and thought-provoking drama about a young catholic nurse who secretly falls in love with a terminally-ill boy in the proper world of 1957 . "
56,1,"the actors are simply too good , and the story too intriguing , for technical flaws to get in the way . "
57,1,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . "
58,1,"the director , mark pellington , does a terrific job conjuring up a sinister , menacing atmosphere though unfortunately all the story gives us is flashing red lights , a rattling noise , and a bump on the head . "
59,1,"so putrid it is not worth the price of the match that should be used to burn every print of the film . "
60,0,"during his skyrocketing career , johnathan has to experience what alexi has found out : blood brings more viewing pleasure to the audience . "
61,1,"a gratingly unfunny groaner littered with zero-dimensional , unlikable characters and hackneyed , threadbare comic setups . "
63,1,"there's plenty of footage here of some of the world's best djs at work , and it's impressive , even for someone uninterested in the genre . "
64,0,"in this cinematic concert , mesmerizing images are plucked from everyday reality , then visually altered with state-of-the-art digital techniques . "
67,1,"the best movie in many a moon about the passions that sometimes fuel our best achievements and other times leave us stranded with nothing more than our lesser appetites . "
68,1,"although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success . "
70,0,"at this moment of desperation , patricia's imaginary guardian angel simon ( mickey rooney ) conveys strength to her and she is able to get away and to hide in a deserted shack . "
71,0,"it's at this point that he buys a pirate record whose magical powers bring him the success he's longed for . "
73,0,"joe , a rootless young drifter , finds work on a barge travelling between glasgow and edinburgh , owned by les and his wife ella . "
